id;source;titulo;año;venue;relevance_score;crit_1_ia;crit_2_se;crit_3_empirical;crit_4_adoption;decision;reason;rayyan_note
21;Scopus;Machine learning application development: practitioners’ insights;2023;Software Quality Journal;50;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 50/100
"
22;Scopus;Combining low-code development with ChatGPT to novel no-code approaches: A focus;2023;Intelligent Systems with Applications;50;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 50/100
"
23;IEEE;Preconditions and Postconditions as Design Constraints for LLM Code Generation;2025;IEEE Access;45;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 45/100
"
24;IEEE;2024 IEEE/ACM 46th International Conference on Software Engineering: New Ideas a;2024;2024 IEEE/ACM 46th International Conference on Sof;45;No;Sí;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 45/100
"
25;Scopus;Training-free, Identity-preserving Image Editing for Fashion Pose Alignment and ;2025;Expert Systems with Applications;45;No;No;No;Sí;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 45/100
"
26;Scopus;“Your AI is impressive, but my code does not have any bugs” managing false posit;2025;Science of Computer Programming;45;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 45/100
"
27;Scopus;Accountability in Code Review: The Role of Intrinsic Drivers and the Impact of L;2025;ACM Transactions on Software Engineering and Metho;45;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 45/100
"
28;Scopus;RAGVA: Engineering retrieval augmented generation-based virtual assistants in pr;2025;Journal of Systems and Software;45;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 45/100
"
29;Scopus;Using artificial intelligence in software development processes: Achievements an;2025;Sustainable Engineering and Innovation;45;No;Sí;Sí;No;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 45/100
"
30;Scopus;A multivocal literature review on the benefits and limitations of industry-leadi;2025;Information and Software Technology;45;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 45/100
"
31;Scopus;An operational guide to translational clinical machine learning in academic medi;2024;npj Digital Medicine;45;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 45/100
"
32;Scopus;CausalOps — Towards an industrial lifecycle for causal probabilistic graphical m;2024;Information and Software Technology;45;No;No;No;Sí;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 45/100
"
33;Scopus;Chatbot Design and Implementation: Towards an Operational Model for Chatbots;2024;Information (Switzerland);45;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 45/100
"
34;IEEE;2024 IEEE/ACM 46th International Conference on Software Engineering (ICSE);2024;2024 IEEE/ACM 46th International Conference on Sof;40;No;Sí;No;Sí;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 40/100
"
35;IEEE;Test Suite Optimization Using Machine Learning Techniques: A Comprehensive Study;2024;IEEE Access;40;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 40/100
"
36;Scopus;AI-Driven Optimization of Functional Feature Placement in Automotive CAD;2025;Algorithms;40;No;No;No;Sí;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 40/100
"
37;Scopus;Emergence of Player Tactics by expert-guided Machine Learning: An industry tower;2025;Entertainment Computing;40;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 40/100
"
38;Scopus;The Role of Artificial Intelligence in Computer Science Education: A Systematic ;2025;Applied Sciences (Switzerland);40;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 40/100
"
39;Scopus;Challenges and practices of deep learning model reengineering: A case study on c;2024;Empirical Software Engineering;40;Sí;Sí;Sí;Sí;Sí;Cumple 4/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 4/4 criterios
RELEVANCIA: 40/100
"
40;Scopus;Autonomous Vehicles: Evolution of Artificial Intelligence and the Current Indust;2024;Big Data and Cognitive Computing;40;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 40/100
"
41;Scopus;Standards relevant to automated driving system safety: A systematic assessment;2023;Transportation Engineering;40;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 40/100
"
42;IEEE;Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Tr;2025;IEEE Access;35;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 35/100
"
43;IEEE;Requirements Engineering in Machine Learning Projects;2023;IEEE Access;35;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 35/100
"
44;IEEE;Software-Engineering Design Patterns for Machine Learning Applications;2022;Computer;35;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 35/100
"
45;Scopus;Naming the Pain in machine learning-enabled systems engineering;2025;Information and Software Technology;35;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 35/100
"
46;Scopus;Automation in Construction (2000–2023): Science Mapping and Visualization of Jou;2025;Buildings;35;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 35/100
"
47;Scopus;Challenges of Integrating Artificial Intelligence in Software Project Planning: ;2024;Digital;35;No;Sí;No;Sí;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 35/100
"
48;Scopus;Automobile insurance fraud detection using data mining: A systematic literature ;2024;Intelligent Systems with Applications;35;No;No;No;Sí;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 35/100
"
49;Scopus;Enhancing Secure Development in Globally Distributed Software Product Lines: A M;2024;Computers, Materials and Continua;35;No;Sí;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 35/100
"
50;Scopus;A TDD Framework for Automated Monitoring in Internet of Things with Machine Lear;2022;Sensors;35;No;No;No;Sí;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 35/100
"
51;Scopus;Systematic Mapping: Artificial Intelligence Techniques in Software Engineering;2022;IEEE Access;35;No;Sí;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 35/100
"
52;IEEE;An Extended Survey Concerning the Significance of Artificial Intelligence and Ma;2023;IEEE Access;30;No;Sí;Sí;No;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 30/100
"
53;Scopus;AI in software programming: understanding emotional responses to GitHub Copilot;2025;Information Technology and People;30;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 30/100
"
54;Scopus;Risk management in the era of data-centric engineering;2025;Data-Centric Engineering;30;No;Sí;Sí;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 30/100
"
55;Scopus;Automated detection, categorisation and developers’ experience with the violatio;2023;Empirical Software Engineering;30;No;No;No;No;No;Cumple solo 0/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 0/4 criterios
RELEVANCIA: 30/100
"
56;Scopus;Requirements practices and gaps when engineering human-centered Artificial Intel;2023;Applied Soft Computing;30;No;Sí;Sí;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 30/100
"
57;Scopus;Swarm intelligence-based model for improving prediction performance of low-expec;2022;PeerJ Computer Science;30;No;Sí;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 30/100
"
58;Scopus;On misbehaviour and fault tolerance in machine learning systems;2022;Journal of Systems and Software;30;Sí;No;No;No;No;Cumple solo 1/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: No
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: No
RAZÓN: Cumple solo 1/4 criterios
RELEVANCIA: 30/100
"
59;IEEE;Exploring the Landscape of Programming Language Identification With Machine Lear;2025;IEEE Access;25;No;Sí;Sí;No;Incierto;Cumple 2/4 criterios (parcial);"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: No

DECISIÓN: Incierto
RAZÓN: Cumple 2/4 criterios (parcial)
RELEVANCIA: 25/100
"
60;IEEE;2022 IEEE/ACM 1st International Workshop on Software Engineering for Responsible;2022;2022 IEEE/ACM 1st International Workshop on Softwa;25;Sí;Sí;No;No;Sí;IA + SE + criterios adicionales;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: No

DECISIÓN: Sí
RAZÓN: IA + SE + criterios adicionales
RELEVANCIA: 25/100
"
61;IEEE;2022 IEEE/ACM 4th International Workshop on Software Engineering Research and Pr;2022;2022 IEEE/ACM 4th International Workshop on Softwa;25;Sí;Sí;No;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: Sí
2. Contexto SE: Sí
3. Evidencia Empírica: No
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 25/100
"
62;Scopus;Comprehensive Bibliographic Survey and Forward-Looking Recommendations for Softw;2025;IEEE Access;25;No;Sí;Sí;Sí;Sí;Cumple 3/4 criterios;"[SCREENING] 2025-12-16

CRITERIOS DE INCLUSIÓN:
1. IA/ML Explícito: No
2. Contexto SE: Sí
3. Evidencia Empírica: Sí
4. Adopción/Competencias: Sí

DECISIÓN: Sí
RAZÓN: Cumple 3/4 criterios
RELEVANCIA: 25/100
"
