Artículo;Evaluador 1;Evaluador 2;Acuerdo;Título
46;Sí;Sí;✓;AI in software programming: understanding emotional response
47;Sí;Sí;✓;Using Machine Learning to Detect Vault (Anti-Forensic) Apps
48;No;No;✓;Rich Data Versus Quantity of Data in Code Generation AI: A P
49;Sí;Sí;✓;The Role of Artificial Intelligence in Computer Science Educ
50;Sí;No;✗;LLMs: A game-changer for software engineers?
51;Sí;Sí;✓;Risk management in the era of data-centric engineering
52;Sí;Sí;✓;AI-Augmented Software Engineering: Revolutionizing or Challe
53;Sí;Sí;✓;A multivocal literature review on the benefits and limitatio
54;Sí;Sí;✓;Enabling efficient and low-effort decentralized federated le
55;Sí;Sí;✓;What Gets Measured Gets Improved: Monitoring Machine Learnin
56;Sí;No;✗;Comprehensive Bibliographic Survey and Forward-Looking Recom
57;Sí;Sí;✓;AI-Driven Software Test Automation: An AI4SE-Oriented Survey
58;Sí;Sí;✓;Overview of Artificial Intelligence Application Methods in S
59;Sí;Sí;✓;Redefining the Programmer: Human-AI Collaboration, LLMs, and
60;Sí;Sí;✓;Kolmogorov–Arnold Network for Transistor Compact Modeling
61;Sí;Sí;✓;An Efficient Methodology for the Categorization of Software 
62;Sí;Sí;✓;Managing expectations towards AI tools for software developm
63;No;No;✓;Rethinking Technological Investment and Cost-Benefit: A Soft
64;Sí;Sí;✓;Quality assurance strategies for machine learning applicatio
65;No;Incierto;✗;An operational guide to translational clinical machine learn
66;Sí;Sí;✓;Challenges and practices of deep learning model reengineerin
67;Sí;Sí;✓;An architecture for model-based and intelligent automation i
68;Sí;Incierto;✗;CausalOps — Towards an industrial lifecycle for causal proba
69;Sí;Sí;✓;Challenges of Integrating Artificial Intelligence in Softwar
70;Sí;Sí;✓;Increasing the Reliability of Software Systems Using a Large
71;Sí;Sí;✓;Navigating the Complexity of Generative AI Adoption in Softw
72;Sí;Sí;✓;Irrigation with Artificial Intelligence: Problems, Premises,
73;Sí;Sí;✓;Intelligent Learning-Based Methods for Determining the Ideal
74;Sí;Sí;✓;Model driven engineering for machine learning components: A 
75;Sí;Sí;✓;Chatbot Design and Implementation: Towards an Operational Mo
76;Sí;Sí;✓;Autonomous Vehicles: Evolution of Artificial Intelligence an
77;Sí;No;✗;Towards a Distributed Digital Twin Framework for Predictive 
78;No;No;✓;The Impact of Resource Allocation on the Machine Learning Li
79;No;No;✓;The GenAI is out of the bottle: generative artificial intell
80;Sí;Sí;✓;Automobile insurance fraud detection using data mining: A sy
81;No;No;✓;Fairness-aware machine learning engineering: how far are we?
82;Sí;Sí;✓;Implementing and Evaluating Automated Bug Triage in Industri
83;Sí;Sí;✓;CODING WITH AI AS AN ASSISTANT: CAN AI GENERATE CONCISE COMP
84;No;No;✓;Integrating Observability with DevOps Practices in Financial
85;No;No;✓;Enhancing Secure Development in Globally Distributed Softwar
86;No;No;✓;A Systematic Review of Adversarial Machine Learning Attacks,
87;Sí;Incierto;✗;Continuous Software Engineering Practices in AI/ML Developme
88;Sí;No;✗;Integrating Generative AI for Advancing Agile Software Devel
89;Sí;Sí;✓;Digital Transformation in the Public Administrations: A Guid
90;Sí;Sí;✓;Machine learning application development: practitioners’ ins
91;Sí;Incierto;✗;Combining low-code development with ChatGPT to novel no-code
92;No;No;✓;Automated detection, categorisation and developers’ experien
93;Sí;Sí;✓;An empirical study of automated privacy requirements classif
94;Sí;Sí;✓;Standards relevant to automated driving system safety: A sys
95;Sí;Sí;✓;Requirements practices and gaps when engineering human-cente
96;No;No;✓;An Intelligent Framework for Estimating Software Development
97;Sí;Sí;✓;The pipeline for the continuous development of artificial in
98;Sí;Sí;✓;Analysis and comparison of deep learning models for user sto
99;Sí;No;✗;A Systematic Literature Review of AI-Based Software Requirem
100;Sí;Sí;✓;Review Classification Based on Machine Learning: Classifying
101;No;No;✓;An Extended Survey Concerning the Significance of Artificial
102;Sí;Sí;✓;Requests classification in the customer service area for sof
103;Sí;Sí;✓;A step toward building a unified framework for managing AI b
104;Sí;Sí;✓;Effective Software Effort Estimation Leveraging Machine Lear
105;No;No;✓;Predictive Analytics and Software Defect Severity: A Systema
106;Sí;Sí;✓;Data-Oriented Software Development: The Industrial Landscape
107;Sí;Sí;✓;A TDD Framework for Automated Monitoring in Internet of Thin
108;Sí;No;✗;Towards a better blockchainification of supply chain applica
109;No;No;✓;An integration engineering framework for machine learning in
110;Sí;Sí;✓;Performance Analysis of Software Test Effort Estimation usin
111;No;No;✓;Trends in Intelligent and AI-Based Software Engineering Proc
112;Sí;Sí;✓;Risk Prediction Applied to Global Software Development using
113;Sí;Incierto;✗;Toward Improving the Efficiency of Software Development Effo
114;Sí;Sí;✓;Systematic Mapping: Artificial Intelligence Techniques in So
115;Sí;Sí;✓;GELAB - The Cutting Edge of Grammatical Evolution
116;Sí;Sí;✓;Swarm intelligence-based model for improving prediction perf
117;Sí;Sí;✓;Collaborative Aspects of Open Data in Software Engineering
118;Sí;Sí;✓;Enjoy your observability: an industrial survey of microservi
119;Sí;Sí;✓;On misbehaviour and fault tolerance in machine learning syst
120;Sí;No;✗;Identifying the use of anonymising proxies to conceal source
121;Sí;Sí;✓;AI lifecycle models need to be revised: An exploratory study
122;No;No;✓;Big Data analytics in Agile software development: A systemat
123;Sí;Sí;✓;A Generic Framework and Library for Exploration of Small Mul
124;Sí;Sí;✓;Robotic Automation of Software Testing From a Machine Learni
125;Sí;Incierto;✗;The Development of the Open Machine-Learning-Based Anti-Spam
126;Sí;No;✗;Toward a knowledge-based personalised recommender system for
127;Sí;Sí;✓;Large scale quality transformation in hybrid development org
